habitat,eventID,organismQuantity,occurrenceID,basisOfRecord
Carex praecox,Askaniia_Nova_1374,2,Askaniia_Nova_1374_006,HumanObservation
Consolida paniculata,Askaniia_Nova_1374,2,Askaniia_Nova_1374_007,HumanObservation
Dianthus pallens,Askaniia_Nova_1374,r,Askaniia_Nova_1374_008,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1374,r,Askaniia_Nova_1374_009,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1374,r,Askaniia_Nova_1374_010,HumanObservation
Festuca valesiaca,Askaniia_Nova_1374,r,Askaniia_Nova_1374_011,HumanObservation
Galatella villosa,Askaniia_Nova_1374,r,Askaniia_Nova_1374_012,HumanObservation
Galium ruthenicum,Askaniia_Nova_1374,r,Askaniia_Nova_1374_013,HumanObservation
Koeleria cristata,Askaniia_Nova_1374,r,Askaniia_Nova_1374_014,HumanObservation
Lactuca serriola,Askaniia_Nova_1374,r,Askaniia_Nova_1374_015,HumanObservation
Limonium sareptanum,Askaniia_Nova_1374,r,Askaniia_Nova_1374_016,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1374,r,Askaniia_Nova_1374_017,HumanObservation
Medicago romanica,Askaniia_Nova_1374,r,Askaniia_Nova_1374_018,HumanObservation
Pastinaca clausii,Askaniia_Nova_1374,r,Askaniia_Nova_1374_019,HumanObservation
Phlomis pungens,Askaniia_Nova_1374,r,Askaniia_Nova_1374_020,HumanObservation
Rumex crispus,Askaniia_Nova_1374,r,Askaniia_Nova_1374_021,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1374,r,Askaniia_Nova_1374_022,HumanObservation
Stipa capillata,Askaniia_Nova_1374,4,Askaniia_Nova_1374_023,HumanObservation
Stipa ucrainica,Askaniia_Nova_1374,2,Askaniia_Nova_1374_024,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1374,r,Askaniia_Nova_1374_025,HumanObservation
Veronica spicata,Askaniia_Nova_1374,r,Askaniia_Nova_1374_026,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1375,1,Askaniia_Nova_1375_001,HumanObservation
Allium paczoskianum,Askaniia_Nova_1375,r,Askaniia_Nova_1375_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_1375,2,Askaniia_Nova_1375_003,HumanObservation
Atriplex oblongifolia,Askaniia_Nova_1375,r,Askaniia_Nova_1375_004,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1375,r,Askaniia_Nova_1375_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_1375,r,Askaniia_Nova_1375_006,HumanObservation
Carex melanostachya,Askaniia_Nova_1375,r,Askaniia_Nova_1375_007,HumanObservation
Carex praecox,Askaniia_Nova_1375,1,Askaniia_Nova_1375_008,HumanObservation
Consolida paniculata,Askaniia_Nova_1375,1,Askaniia_Nova_1375_009,HumanObservation
Crepis ramosissima,Askaniia_Nova_1375,r,Askaniia_Nova_1375_010,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1375,r,Askaniia_Nova_1375_011,HumanObservation
Dianthus pallens,Askaniia_Nova_1375,r,Askaniia_Nova_1375_012,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1375,r,Askaniia_Nova_1375_013,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1375,r,Askaniia_Nova_1375_014,HumanObservation
Festuca valesiaca,Askaniia_Nova_1375,r,Askaniia_Nova_1375_015,HumanObservation
Galatella villosa,Askaniia_Nova_1375,r,Askaniia_Nova_1375_016,HumanObservation
Galium ruthenicum,Askaniia_Nova_1375,r,Askaniia_Nova_1375_017,HumanObservation
Galium spurium,Askaniia_Nova_1375,r,Askaniia_Nova_1375_018,HumanObservation
Koeleria cristata,Askaniia_Nova_1375,r,Askaniia_Nova_1375_019,HumanObservation
Lactuca serriola,Askaniia_Nova_1375,r,Askaniia_Nova_1375_020,HumanObservation
Limonium sareptanum,Askaniia_Nova_1375,r,Askaniia_Nova_1375_021,HumanObservation
Linaria biebersteinii,Askaniia_Nova_1375,r,Askaniia_Nova_1375_022,HumanObservation
Medicago romanica,Askaniia_Nova_1375,r,Askaniia_Nova_1375_023,HumanObservation
Pastinaca clausii,Askaniia_Nova_1375,r,Askaniia_Nova_1375_024,HumanObservation
Phlomis pungens,Askaniia_Nova_1375,r,Askaniia_Nova_1375_025,HumanObservation
Psammophiliella muralis,Askaniia_Nova_1375,r,Askaniia_Nova_1375_026,HumanObservation
Rumex crispus,Askaniia_Nova_1375,r,Askaniia_Nova_1375_027,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1375,r,Askaniia_Nova_1375_028,HumanObservation
Stipa capillata,Askaniia_Nova_1375,4,Askaniia_Nova_1375_029,HumanObservation
Stipa ucrainica,Askaniia_Nova_1375,2,Askaniia_Nova_1375_030,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1375,r,Askaniia_Nova_1375_031,HumanObservation
Valerianella costata,Askaniia_Nova_1375,r,Askaniia_Nova_1375_032,HumanObservation
Veronica spicata,Askaniia_Nova_1375,r,Askaniia_Nova_1375_033,HumanObservation
Veronica verna,Askaniia_Nova_1375,r,Askaniia_Nova_1375_034,HumanObservation
Achillea nobilis,Askaniia_Nova_1376,r,Askaniia_Nova_1376_001,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_002,HumanObservation
Allium paniculatum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_003,HumanObservation
Alyssum hirsutum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_004,HumanObservation
Androsace elongata,Askaniia_Nova_1376,r,Askaniia_Nova_1376_005,HumanObservation
Artemisia austriaca,Askaniia_Nova_1376,r,Askaniia_Nova_1376_006,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1376,r,Askaniia_Nova_1376_007,HumanObservation
Carduus uncinatus,Askaniia_Nova_1376,r,Askaniia_Nova_1376_008,HumanObservation
Carex melanostachya,Askaniia_Nova_1376,r,Askaniia_Nova_1376_009,HumanObservation
Carex praecox,Askaniia_Nova_1376,r,Askaniia_Nova_1376_010,HumanObservation
Centaurea diffusa,Askaniia_Nova_1376,r,Askaniia_Nova_1376_011,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_012,HumanObservation
Consolida paniculata,Askaniia_Nova_1376,r,Askaniia_Nova_1376_013,HumanObservation
Crepis ramosissima,Askaniia_Nova_1376,r,Askaniia_Nova_1376_014,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1376,r,Askaniia_Nova_1376_015,HumanObservation
Dianthus pallens,Askaniia_Nova_1376,r,Askaniia_Nova_1376_016,HumanObservation
Erophila verna,Askaniia_Nova_1376,r,Askaniia_Nova_1376_017,HumanObservation
Eryngium campestre,Askaniia_Nova_1376,r,Askaniia_Nova_1376_018,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1376,r,Askaniia_Nova_1376_019,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1376,r,Askaniia_Nova_1376_020,HumanObservation
Ferula caspica,Askaniia_Nova_1376,r,Askaniia_Nova_1376_021,HumanObservation
Festuca valesiaca,Askaniia_Nova_1376,3,Askaniia_Nova_1376_022,HumanObservation
Gagea pusilla,Askaniia_Nova_1376,r,Askaniia_Nova_1376_023,HumanObservation
Galium ruthenicum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_024,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_025,HumanObservation
Holosteum umbellatum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_026,HumanObservation
Koeleria cristata,Askaniia_Nova_1376,1,Askaniia_Nova_1376_027,HumanObservation
Lactuca serriola,Askaniia_Nova_1376,r,Askaniia_Nova_1376_028,HumanObservation
Lamium amplexicaule,Askaniia_Nova_1376,r,Askaniia_Nova_1376_029,HumanObservation
Limonium sareptanum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_030,HumanObservation
Myosotis micrantha,Askaniia_Nova_1376,r,Askaniia_Nova_1376_031,HumanObservation
Pastinaca clausii,Askaniia_Nova_1376,r,Askaniia_Nova_1376_032,HumanObservation
Phlomis pungens,Askaniia_Nova_1376,r,Askaniia_Nova_1376_033,HumanObservation
Poa angustifolia,Askaniia_Nova_1376,r,Askaniia_Nova_1376_034,HumanObservation
Poa bulbosa,Askaniia_Nova_1376,r,Askaniia_Nova_1376_035,HumanObservation
Psammophiliella muralis,Askaniia_Nova_1376,r,Askaniia_Nova_1376_036,HumanObservation
Ranunculus illyricus,Askaniia_Nova_1376,r,Askaniia_Nova_1376_037,HumanObservation
Ranunculus oxyspermus,Askaniia_Nova_1376,r,Askaniia_Nova_1376_038,HumanObservation
Scorzonera mollis,Askaniia_Nova_1376,r,Askaniia_Nova_1376_039,HumanObservation
Senecio jacobaea,Askaniia_Nova_1376,r,Askaniia_Nova_1376_040,HumanObservation
Serratula erucifolia,Askaniia_Nova_1376,r,Askaniia_Nova_1376_041,HumanObservation
Seseli tortuosum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_042,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_043,HumanObservation
Stipa capillata,Askaniia_Nova_1376,2,Askaniia_Nova_1376_044,HumanObservation
Stipa lessingiana,Askaniia_Nova_1376,1,Askaniia_Nova_1376_045,HumanObservation
Stipa ucrainica,Askaniia_Nova_1376,1,Askaniia_Nova_1376_046,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1376,r,Askaniia_Nova_1376_047,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_048,HumanObservation
Tragopogon major,Askaniia_Nova_1376,r,Askaniia_Nova_1376_049,HumanObservation
Trifolium arvense,Askaniia_Nova_1376,r,Askaniia_Nova_1376_050,HumanObservation
Trinia hispida,Askaniia_Nova_1376,r,Askaniia_Nova_1376_051,HumanObservation
Tulipa gesneriana,Askaniia_Nova_1376,r,Askaniia_Nova_1376_052,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1376,r,Askaniia_Nova_1376_053,HumanObservation
Veronica praecox,Askaniia_Nova_1376,r,Askaniia_Nova_1376_054,HumanObservation
Veronica verna,Askaniia_Nova_1376,r,Askaniia_Nova_1376_055,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1376,r,Askaniia_Nova_1376_056,HumanObservation
Xanthopaemelia camschadalis,Askaniia_Nova_1376,r,Askaniia_Nova_1376_057,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1377,+,Askaniia_Nova_1377_001,HumanObservation
Alyssum turkestanicum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_002,HumanObservation
Androsace elongata,Askaniia_Nova_1377,r,Askaniia_Nova_1377_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_1377,r,Askaniia_Nova_1377_004,HumanObservation
Astomum crispum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_005,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_006,HumanObservation
Carduus uncinatus,Askaniia_Nova_1377,r,Askaniia_Nova_1377_007,HumanObservation
Carex melanostachya,Askaniia_Nova_1377,r,Askaniia_Nova_1377_008,HumanObservation
Carex praecox,Askaniia_Nova_1377,r,Askaniia_Nova_1377_009,HumanObservation
Centaurea diffusa,Askaniia_Nova_1377,r,Askaniia_Nova_1377_010,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_011,HumanObservation
Cladonia fimbriata,Askaniia_Nova_1377,r,Askaniia_Nova_1377_012,HumanObservation
Cladonia rangiformis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_013,HumanObservation
Consolida paniculata,Askaniia_Nova_1377,r,Askaniia_Nova_1377_014,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_015,HumanObservation
Crepis ramosissima,Askaniia_Nova_1377,r,Askaniia_Nova_1377_016,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1377,r,Askaniia_Nova_1377_017,HumanObservation
Dianthus guttatus,Askaniia_Nova_1377,r,Askaniia_Nova_1377_018,HumanObservation
Dianthus pallens,Askaniia_Nova_1377,r,Askaniia_Nova_1377_019,HumanObservation
Erophila verna,Askaniia_Nova_1377,r,Askaniia_Nova_1377_020,HumanObservation
Eryngium campestre,Askaniia_Nova_1377,r,Askaniia_Nova_1377_021,HumanObservation
Euphorbia leptocaula,Askaniia_Nova_1377,r,Askaniia_Nova_1377_022,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1377,r,Askaniia_Nova_1377_023,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1377,2,Askaniia_Nova_1377_024,HumanObservation
Ferula caspica,Askaniia_Nova_1377,r,Askaniia_Nova_1377_025,HumanObservation
Festuca valesiaca,Askaniia_Nova_1377,3,Askaniia_Nova_1377_026,HumanObservation
Gagea pusilla,Askaniia_Nova_1377,r,Askaniia_Nova_1377_027,HumanObservation
Galatella villosa,Askaniia_Nova_1377,r,Askaniia_Nova_1377_028,HumanObservation
Galium ruthenicum,Askaniia_Nova_1377,2,Askaniia_Nova_1377_029,HumanObservation
Galium spurium,Askaniia_Nova_1377,r,Askaniia_Nova_1377_030,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_031,HumanObservation
Herniaria besseri,Askaniia_Nova_1377,r,Askaniia_Nova_1377_032,HumanObservation
Holosteum umbellatum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_033,HumanObservation
Koeleria cristata,Askaniia_Nova_1377,r,Askaniia_Nova_1377_034,HumanObservation
Lagoseris sancta,Askaniia_Nova_1377,r,Askaniia_Nova_1377_035,HumanObservation
Lamium amplexicaule,Askaniia_Nova_1377,r,Askaniia_Nova_1377_036,HumanObservation
Lepidium perfoliatum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_037,HumanObservation
Limonium sareptanum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_038,HumanObservation
Medicago romanica,Askaniia_Nova_1377,r,Askaniia_Nova_1377_039,HumanObservation
Myosotis micrantha,Askaniia_Nova_1377,r,Askaniia_Nova_1377_040,HumanObservation
Pastinaca clausii,Askaniia_Nova_1377,r,Askaniia_Nova_1377_041,HumanObservation
Phlomis pungens,Askaniia_Nova_1377,r,Askaniia_Nova_1377_042,HumanObservation
Poa angustifolia,Askaniia_Nova_1377,1,Askaniia_Nova_1377_043,HumanObservation
Poa bulbosa,Askaniia_Nova_1377,r,Askaniia_Nova_1377_044,HumanObservation
Psammophiliella muralis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_045,HumanObservation
Ranunculus illyricus,Askaniia_Nova_1377,r,Askaniia_Nova_1377_046,HumanObservation
Ranunculus oxyspermus,Askaniia_Nova_1377,r,Askaniia_Nova_1377_047,HumanObservation
Salvia aethiopis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_048,HumanObservation
Senecio jacobaea,Askaniia_Nova_1377,r,Askaniia_Nova_1377_049,HumanObservation
Serratula erucifolia,Askaniia_Nova_1377,r,Askaniia_Nova_1377_050,HumanObservation
Seseli tortuosum,Askaniia_Nova_1377,2,Askaniia_Nova_1377_051,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_052,HumanObservation
Stipa capillata,Askaniia_Nova_1377,2,Askaniia_Nova_1377_053,HumanObservation
Stipa lessingiana,Askaniia_Nova_1377,2,Askaniia_Nova_1377_054,HumanObservation
Stipa ucrainica,Askaniia_Nova_1377,2,Askaniia_Nova_1377_055,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1377,r,Askaniia_Nova_1377_056,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_057,HumanObservation
Tortula ruralis,Askaniia_Nova_1377,r,Askaniia_Nova_1377_058,HumanObservation
Tragopogon major,Askaniia_Nova_1377,r,Askaniia_Nova_1377_059,HumanObservation
Trifolium arvense,Askaniia_Nova_1377,r,Askaniia_Nova_1377_060,HumanObservation
Trinia hispida,Askaniia_Nova_1377,r,Askaniia_Nova_1377_061,HumanObservation
Tulipa gesneriana,Askaniia_Nova_1377,r,Askaniia_Nova_1377_062,HumanObservation
Valerianella costata,Askaniia_Nova_1377,r,Askaniia_Nova_1377_063,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1377,r,Askaniia_Nova_1377_064,HumanObservation
Veronica praecox,Askaniia_Nova_1377,r,Askaniia_Nova_1377_065,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1377,r,Askaniia_Nova_1377_066,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1378,+,Askaniia_Nova_1378_001,HumanObservation
Allium paniculatum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_1378,r,Askaniia_Nova_1378_003,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1378,r,Askaniia_Nova_1378_004,HumanObservation
Carduus uncinatus,Askaniia_Nova_1378,r,Askaniia_Nova_1378_005,HumanObservation
Carex melanostachya,Askaniia_Nova_1378,r,Askaniia_Nova_1378_006,HumanObservation
Carex praecox,Askaniia_Nova_1378,r,Askaniia_Nova_1378_007,HumanObservation
Centaurea diffusa,Askaniia_Nova_1378,r,Askaniia_Nova_1378_008,HumanObservation
Cerastium ucrainicum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_009,HumanObservation
Consolida paniculata,Askaniia_Nova_1378,r,Askaniia_Nova_1378_010,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1378,r,Askaniia_Nova_1378_011,HumanObservation
Crepis ramosissima,Askaniia_Nova_1378,r,Askaniia_Nova_1378_012,HumanObservation
Cruciata pedemontana,Askaniia_Nova_1378,r,Askaniia_Nova_1378_013,HumanObservation
Dianthus guttatus,Askaniia_Nova_1378,r,Askaniia_Nova_1378_014,HumanObservation
Dianthus pallens,Askaniia_Nova_1378,r,Askaniia_Nova_1378_015,HumanObservation
Eryngium campestre,Askaniia_Nova_1378,r,Askaniia_Nova_1378_016,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1378,r,Askaniia_Nova_1378_017,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1378,2,Askaniia_Nova_1378_018,HumanObservation
Ferula caspica,Askaniia_Nova_1378,r,Askaniia_Nova_1378_019,HumanObservation
Festuca valesiaca,Askaniia_Nova_1378,3,Askaniia_Nova_1378_020,HumanObservation
Galatella villosa,Askaniia_Nova_1378,r,Askaniia_Nova_1378_021,HumanObservation
Galium ruthenicum,Askaniia_Nova_1378,1,Askaniia_Nova_1378_022,HumanObservation
Galium spurium,Askaniia_Nova_1378,r,Askaniia_Nova_1378_023,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_024,HumanObservation
Herniaria besseri,Askaniia_Nova_1378,r,Askaniia_Nova_1378_025,HumanObservation
Koeleria cristata,Askaniia_Nova_1378,2,Askaniia_Nova_1378_026,HumanObservation
Lactuca serriola,Askaniia_Nova_1378,r,Askaniia_Nova_1378_027,HumanObservation
Lamium amplexicaule,Askaniia_Nova_1378,r,Askaniia_Nova_1378_028,HumanObservation
Lepidium perfoliatum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_029,HumanObservation
Limonium sareptanum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_030,HumanObservation
Medicago romanica,Askaniia_Nova_1378,r,Askaniia_Nova_1378_031,HumanObservation
Myosotis micrantha,Askaniia_Nova_1378,r,Askaniia_Nova_1378_032,HumanObservation
Pastinaca clausii,Askaniia_Nova_1378,r,Askaniia_Nova_1378_033,HumanObservation
Phlomis pungens,Askaniia_Nova_1378,r,Askaniia_Nova_1378_034,HumanObservation
Poa angustifolia,Askaniia_Nova_1378,1,Askaniia_Nova_1378_035,HumanObservation
Poa bulbosa,Askaniia_Nova_1378,r,Askaniia_Nova_1378_036,HumanObservation
Potentilla argentea,Askaniia_Nova_1378,r,Askaniia_Nova_1378_037,HumanObservation
Psammophiliella muralis,Askaniia_Nova_1378,r,Askaniia_Nova_1378_038,HumanObservation
Salvia aethiopis,Askaniia_Nova_1378,r,Askaniia_Nova_1378_039,HumanObservation
Senecio jacobaea,Askaniia_Nova_1378,r,Askaniia_Nova_1378_040,HumanObservation
Serratula erucifolia,Askaniia_Nova_1378,r,Askaniia_Nova_1378_041,HumanObservation
Seseli tortuosum,Askaniia_Nova_1378,2,Askaniia_Nova_1378_042,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_043,HumanObservation
Stipa capillata,Askaniia_Nova_1378,2,Askaniia_Nova_1378_044,HumanObservation
Stipa lessingiana,Askaniia_Nova_1378,2,Askaniia_Nova_1378_045,HumanObservation
Stipa ucrainica,Askaniia_Nova_1378,2,Askaniia_Nova_1378_046,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1378,r,Askaniia_Nova_1378_047,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_048,HumanObservation
Tragopogon major,Askaniia_Nova_1378,r,Askaniia_Nova_1378_049,HumanObservation
Trifolium arvense,Askaniia_Nova_1378,r,Askaniia_Nova_1378_050,HumanObservation
Trinia hispida,Askaniia_Nova_1378,r,Askaniia_Nova_1378_051,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1378,r,Askaniia_Nova_1378_052,HumanObservation
Veronica praecox,Askaniia_Nova_1378,r,Askaniia_Nova_1378_053,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1378,r,Askaniia_Nova_1378_054,HumanObservation
Xanthopaemelia camschadalis,Askaniia_Nova_1378,r,Askaniia_Nova_1378_055,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1379,+,Askaniia_Nova_1379_001,HumanObservation
Allium paniculatum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_002,HumanObservation
Alyssum turkestanicum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_003,HumanObservation
Artemisia austriaca,Askaniia_Nova_1379,r,Askaniia_Nova_1379_004,HumanObservation
Astomum crispum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_005,HumanObservation
Carduus uncinatus,Askaniia_Nova_1379,r,Askaniia_Nova_1379_006,HumanObservation
Carex melanostachya,Askaniia_Nova_1379,r,Askaniia_Nova_1379_007,HumanObservation
Carex praecox,Askaniia_Nova_1379,r,Askaniia_Nova_1379_008,HumanObservation
Centaurea diffusa,Askaniia_Nova_1379,r,Askaniia_Nova_1379_009,HumanObservation
Cladonia fimbriata,Askaniia_Nova_1379,r,Askaniia_Nova_1379_010,HumanObservation
Cladonia rangiformis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_011,HumanObservation
Consolida paniculata,Askaniia_Nova_1379,r,Askaniia_Nova_1379_012,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_013,HumanObservation
Dianthus guttatus,Askaniia_Nova_1379,r,Askaniia_Nova_1379_014,HumanObservation
Dianthus pallens,Askaniia_Nova_1379,r,Askaniia_Nova_1379_015,HumanObservation
Eryngium campestre,Askaniia_Nova_1379,r,Askaniia_Nova_1379_016,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1379,r,Askaniia_Nova_1379_017,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1379,r,Askaniia_Nova_1379_018,HumanObservation
Festuca valesiaca,Askaniia_Nova_1379,3,Askaniia_Nova_1379_019,HumanObservation
Galatella villosa,Askaniia_Nova_1379,r,Askaniia_Nova_1379_020,HumanObservation
Galium ruthenicum,Askaniia_Nova_1379,1,Askaniia_Nova_1379_021,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_022,HumanObservation
Herniaria besseri,Askaniia_Nova_1379,r,Askaniia_Nova_1379_023,HumanObservation
Koeleria cristata,Askaniia_Nova_1379,2,Askaniia_Nova_1379_024,HumanObservation
Limonium sareptanum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_025,HumanObservation
Medicago romanica,Askaniia_Nova_1379,r,Askaniia_Nova_1379_026,HumanObservation
Phlomis pungens,Askaniia_Nova_1379,r,Askaniia_Nova_1379_027,HumanObservation
Poa angustifolia,Askaniia_Nova_1379,+,Askaniia_Nova_1379_028,HumanObservation
Psammophiliella muralis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_029,HumanObservation
Salvia aethiopis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_030,HumanObservation
Scorzonera mollis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_031,HumanObservation
Senecio jacobaea,Askaniia_Nova_1379,r,Askaniia_Nova_1379_032,HumanObservation
Seseli tortuosum,Askaniia_Nova_1379,2,Askaniia_Nova_1379_033,HumanObservation
Sisymbrium polymorphum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_034,HumanObservation
Stipa capillata,Askaniia_Nova_1379,2,Askaniia_Nova_1379_035,HumanObservation
Stipa lessingiana,Askaniia_Nova_1379,2,Askaniia_Nova_1379_036,HumanObservation
Stipa ucrainica,Askaniia_Nova_1379,2,Askaniia_Nova_1379_037,HumanObservation
Tanacetum millefolium,Askaniia_Nova_1379,r,Askaniia_Nova_1379_038,HumanObservation
Taraxacum erythrospermum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_039,HumanObservation
Tortula ruralis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_040,HumanObservation
Trifolium arvense,Askaniia_Nova_1379,r,Askaniia_Nova_1379_041,HumanObservation
Verbascum phoeniceum,Askaniia_Nova_1379,r,Askaniia_Nova_1379_042,HumanObservation
Xanthopaemelia camschadalis,Askaniia_Nova_1379,r,Askaniia_Nova_1379_043,HumanObservation
Agropyron pectinatum,Askaniia_Nova_1380,+,Askaniia_Nova_1380_001,HumanObservation
Allium paniculatum,Askaniia_Nova_1380,r,Askaniia_Nova_1380_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_1380,r,Askaniia_Nova_1380_003,HumanObservation
Astomum crispum,Askaniia_Nova_1380,r,Askaniia_Nova_1380_004,HumanObservation
Carduus uncinatus,Askaniia_Nova_1380,r,Askaniia_Nova_1380_005,HumanObservation
Carex melanostachya,Askaniia_Nova_1380,r,Askaniia_Nova_1380_006,HumanObservation
Carex praecox,Askaniia_Nova_1380,r,Askaniia_Nova_1380_007,HumanObservation
Centaurea diffusa,Askaniia_Nova_1380,r,Askaniia_Nova_1380_008,HumanObservation
Consolida paniculata,Askaniia_Nova_1380,r,Askaniia_Nova_1380_009,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1380,r,Askaniia_Nova_1380_010,HumanObservation
Dianthus guttatus,Askaniia_Nova_1380,r,Askaniia_Nova_1380_011,HumanObservation
Dianthus pallens,Askaniia_Nova_1380,r,Askaniia_Nova_1380_012,HumanObservation
Eryngium campestre,Askaniia_Nova_1380,r,Askaniia_Nova_1380_013,HumanObservation
Euphorbia seguierana,Askaniia_Nova_1380,r,Askaniia_Nova_1380_014,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1380,r,Askaniia_Nova_1380_015,HumanObservation
Festuca valesiaca,Askaniia_Nova_1380,3,Askaniia_Nova_1380_016,HumanObservation
Galatella villosa,Askaniia_Nova_1380,r,Askaniia_Nova_1380_017,HumanObservation
Galium ruthenicum,Askaniia_Nova_1380,+,Askaniia_Nova_1380_018,HumanObservation
Goniolimon tataricum,Askaniia_Nova_1380,r,Askaniia_Nova_1380_019,HumanObservation
Herniaria besseri,Askaniia_Nova_1380,r,Askaniia_Nova_1380_020,HumanObservation
Koeleria cristata,Askaniia_Nova_1380,2,Askaniia_Nova_1380_021,HumanObservation
Limonium sareptanum,Askaniia_Nova_1380,r,Askaniia_Nova_1380_022,HumanObservation
